#: table_doi: 10.17182/hepdata.89307.v1/t152
#: name: Table 152
#: description: Covariance matrix of the normalised differential cross section at particle level as a function of $m_{l\bar{l}}$.
#: data_file: d076-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1.0,1.0,2.13086e-08
2.0,1.0,8.23917e-09
3.0,1.0,1.45322e-08
4.0,1.0,-1.32157e-08
5.0,1.0,6.44788e-10
6.0,1.0,-3.4758e-09
7.0,1.0,-1.65936e-09
1.0,2.0,8.23917e-09
2.0,2.0,1.12444e-08
3.0,2.0,1.01803e-08
4.0,2.0,-9.42022e-09
5.0,2.0,2.3912e-10
6.0,2.0,-2.81825e-09
7.0,2.0,-1.26164e-09
1.0,3.0,1.45322e-08
2.0,3.0,1.01803e-08
3.0,3.0,2.20223e-08
4.0,3.0,-1.60336e-08
5.0,3.0,-6.87746e-10
6.0,3.0,-4.09902e-09
7.0,3.0,-1.79992e-09
1.0,4.0,-1.32157e-08
2.0,4.0,-9.42022e-09
3.0,4.0,-1.60336e-08
4.0,4.0,1.66304e-08
5.0,4.0,-2.6986e-10
6.0,4.0,2.92934e-09
7.0,4.0,8.50246e-10
1.0,5.0,6.44788e-10
2.0,5.0,2.3912e-10
3.0,5.0,-6.87746e-10
4.0,5.0,-2.6986e-10
5.0,5.0,2.77354e-09
6.0,5.0,-7.01381e-10
7.0,5.0,-1.63787e-10
1.0,6.0,-3.4758e-09
2.0,6.0,-2.81825e-09
3.0,6.0,-4.09902e-09
4.0,6.0,2.92934e-09
5.0,6.0,-7.01381e-10
6.0,6.0,1.99774e-09
7.0,6.0,3.06917e-10
1.0,7.0,-1.65936e-09
2.0,7.0,-1.26164e-09
3.0,7.0,-1.79992e-09
4.0,7.0,8.50246e-10
5.0,7.0,-1.63787e-10
6.0,7.0,3.06917e-10
7.0,7.0,4.41317e-10
1.0,1.0,2.13086e-08
2.0,1.0,8.23917e-09
3.0,1.0,1.45322e-08
4.0,1.0,-1.32157e-08
5.0,1.0,6.44788e-10
6.0,1.0,-3.4758e-09
7.0,1.0,-1.65936e-09
1.0,2.0,8.23917e-09
2.0,2.0,1.12444e-08
3.0,2.0,1.01803e-08
4.0,2.0,-9.42022e-09
5.0,2.0,2.3912e-10
6.0,2.0,-2.81825e-09
