#: table_doi: 10.17182/hepdata.89307.v1/t160
#: name: Table 160
#: description: Covariance matrix of the normalised differential cross section at particle level as a function of $\Delta|\eta|(l,\bar{l})$.
#: data_file: d080-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1.0,1.0,9.14813e-07
2.0,1.0,3.04747e-07
3.0,1.0,1.25468e-07
4.0,1.0,-1.07851e-06
5.0,1.0,-1.5794e-06
6.0,1.0,-1.69663e-07
7.0,1.0,-4.92185e-07
8.0,1.0,6.85614e-07
9.0,1.0,6.08559e-07
1.0,2.0,3.04747e-07
2.0,2.0,4.88675e-06
3.0,2.0,-1.59039e-06
4.0,2.0,-1.77009e-06
5.0,2.0,-3.43932e-06
6.0,2.0,-5.31973e-08
7.0,2.0,-3.29679e-06
8.0,2.0,1.36572e-06
9.0,2.0,5.91246e-07
1.0,3.0,1.25468e-07
2.0,3.0,-1.59039e-06
3.0,3.0,9.62568e-06
4.0,3.0,-1.20962e-06
5.0,3.0,-2.33659e-06
6.0,3.0,-3.09411e-06
7.0,3.0,1.66242e-06
8.0,3.0,-1.83045e-06
9.0,3.0,-7.35684e-07
1.0,4.0,-1.07851e-06
2.0,4.0,-1.77009e-06
3.0,4.0,-1.20962e-06
4.0,4.0,1.45749e-05
5.0,4.0,-1.18882e-06
6.0,4.0,-2.70975e-06
7.0,4.0,-2.16044e-06
8.0,4.0,-5.55686e-07
9.0,4.0,-2.22708e-06
1.0,5.0,-1.5794e-06
2.0,5.0,-3.43932e-06
3.0,5.0,-2.33659e-06
4.0,5.0,-1.18882e-06
5.0,5.0,1.78976e-05
6.0,5.0,-7.4238e-07
7.0,5.0,3.17329e-06
8.0,5.0,-5.61069e-06
9.0,5.0,-1.8076e-06
1.0,6.0,-1.69663e-07
2.0,6.0,-5.31973e-08
3.0,6.0,-3.09411e-06
4.0,6.0,-2.70975e-06
5.0,6.0,-7.4238e-07
